positionx,positiony,positionz,velocityx,velocityy,velocityz
-42805.73885319141,77290.61993827927,14144.094958351521,-107.32704934410368,-34.464181588049684,0.3999829687189429
-42814.32501713894,77287.86280375223,14144.12695698902,-107.32704934410368,-34.464181588049684,0.3999829687189429
-42822.91118108646,77285.10566922519,14144.158955626517,-108.70395567351363,-34.906325018401304,0.2399829687189429
-42831.607497540346,77282.31316322372,14144.178154264015,-110.24441681645743,-35.4009881334706,0.05266469634336374
-42840.427050885664,77279.48108417304,14144.182367439722,-111.9402392101001,-35.945539868310526,-0.22809028271249232
-42849.38227002247,77276.60544098358,14144.164120217105,-112.54834046212852,-36.140809486751586,-0.6188149416566104
-42858.38613725944,77273.71417622463,14144.114615021772,-114.09013852344349,-36.63590190457162,-0.8946356362057395
-42867.513348341316,77270.78330407226,14144.043044170876,-114.27104339302684,-36.693992929281464,-1.2532431369062387
-42876.655031812756,77267.84778463792,14143.942784719924,-116.15817787538839,-37.299977589054016,-1.4864789284945918
-42885.94768604279,77264.8637864308,14143.823866405644,-117.97596723277005,-37.88369458196944,-1.8416177484549219
-42895.385763421415,77261.83309086424,14143.676536985768,-118.01218669369169,-37.89532514561442,-2.112621961312756
-42904.82673835691,77258.80146485259,14143.507527228863,-119.34078853421326,-38.32195734476439,-2.373832688137452
-42914.374001439646,77255.735708265,14143.317620613812,-120.70797862252894,-38.76098075738076,-2.6969285723491807
-42924.03063972945,77252.6348298044,14143.101866328025,-122.54835177676635,-39.351949715952,-3.084955397983655
-42933.83450787159,77249.48667382712,14142.855069896186,-122.91516276236706,-39.46973773391664,-3.4711410870523824
-42943.667720892576,77246.3290948084,14142.577378609221,-124.18580152417194,-39.8777571967387,-3.899591342004933
-42953.60258501451,77243.13887423267,14142.265411301862,-126.14569360378171,-40.50710531482672,-4.363344501125596
-42963.69424050281,77239.89830580748,14141.916343741772,-127.56838800960227,-40.96395192196021,-4.883401793656792
-42973.89971154358,77236.62118965373,14141.52567159828,-129.5654743469621,-41.60524362427014,-5.317438799771596
-42984.264949491335,77233.29277016378,14141.100276494299,-131.19771193652264,-42.12937740997683,-5.750010093642689
-42994.760766446256,77229.92241997099,14140.640275686806,-132.49579120636434,-42.54620839475565,-6.054479252612241
-43005.36042974277,77226.5187232994,14140.155917346598,-133.456995409709,-42.85486419410645,-6.295786981639533
-43016.03698937554,77223.09033416388,14139.652254388066,-134.23033278764336,-43.103193389633894,-6.3882782876029935
-43026.775415998556,77219.6420786927,14139.141192125056,-136.21814703484182,-43.74150769714004,-6.4012922555227325
-43037.67286776134,77216.14275807694,14138.629088744614,-138.32262972390538,-44.41728583497233,-6.564107810539522
-43048.738678139256,77212.58937521014,14138.10396011977,-140.3831672570144,-45.078952582954756,-6.743683104067758
-43059.96933151982,77208.9830590035,14137.564465471445,-141.63576407925606,-45.48117853253754,-6.8051938342655465
-43071.30019264616,77205.3445647209,14137.020049964704,-141.79312844288162,-45.531710379230645,-7.014726829242247
-43082.64364292159,77201.70202789057,14136.458871818364,-143.88672887728745,-46.2039940764452,-7.080821497706129
-43094.15458123177,77198.00570836445,14135.892406098548,-145.98372690098236,-46.87736878599015,-7.239778893258814
-43105.83327938385,77194.25551886157,14135.313223787087,-146.73547685995655,-47.11876596641416,-7.319903807996495
-43117.57211753265,77190.48601758425,14134.727631482447,-148.74166262666608,-47.76297961978277,-7.5269550405490016
-43129.471450542784,77186.66497921466,14134.125475079203,-148.8820066805017,-47.80804601251184,-7.72539822145031
-43141.38201107722,77182.84033553366,14133.507443221488,-148.90131061713677,-47.814244770249246,-7.952421989463586
-43153.29411592659,77179.01519595204,14132.87124946233,-150.87992032956873,-48.449603375911686,-8.147816265556719
-43165.36450955296,77175.13922768197,14132.219424161087,-151.58244246910652,-48.67519283108277,-8.222202348220998
-43177.49110495049,77171.24521225548,14131.561647973229,-152.27087859610538,-48.89625907521841,-8.226177928034906
-43189.67277523818,77167.33351152946,14130.903553738986,-152.97245190551126,-49.1215438480735,-8.265466712142752
-43201.91057139062,77163.40378802162,14130.242316402015,-154.0459989370245,-49.46627446410638,-8.28486912827789
-43214.23425130558,77159.4464860645,14129.579526871752,-155.5839605759368,-49.96013495428894,-8.297809885629768
-43226.68096815165,77155.44967526816,14128.915702080902,-155.80222710729123,-50.03022331893852,-8.462247870436483
-43239.14514632024,77151.44725740264,14128.238722251266,-156.2889641914554,-50.1865212452934,-8.574820568927091
-43251.64826345556,77147.43233570302,14127.552736605752,-158.40114411086998,-50.864771068932434,-8.739849803210614
-43264.320354984426,77143.36315401751,14126.853548621495,-160.35938458174329,-51.49358883289487,-8.884089761549099
-43277.14910575096,77139.24366691089,14126.142821440571,-160.4425840840828,-51.520305329567314,-9.157844578791504
-43289.98451247769,77135.12204248452,14125.410193874268,-162.53635491426408,-52.192643743192896,-9.435325763578296
-43302.987420870835,77130.94663098507,14124.655367813182,-164.35791809071765,-52.77757256096114,-9.76225231677922
-43316.13605431809,77126.72442518019,14123.87438762784,-164.7551753891935,-52.905137305874185,-9.994030333266778
-43329.31646834923,77122.49201419573,14123.074865201179,-165.14541448960054,-53.030448411521604,-10.374642415923152
-43342.5281015084,77118.24957832281,14122.244893807905,-165.7464941523927,-53.22346330174686,-10.75194465018284
-43355.78782104059,77113.99170125867,14121.38473823589,-167.15236205938646,-53.67490669026397,-11.23265436153739
-43369.16001000534,77109.69770872344,14120.486125886968,-168.59425135282243,-54.137917038005085,-11.625351027158594
-43382.647550113565,77105.3666753604,14119.556097804794,-168.7170480415821,-54.17734873211843,-12.067264988157621
-43396.144913956894,77101.03248746184,14118.590716605742,-169.9045714116717,-54.55867870733841,-12.385712852563785
-43409.737279669826,77096.66779316525,14117.599859577536,-170.62225105577525,-54.789135444270876,-12.721385017514633
-43423.387059754285,77092.28466232971,14116.582148776135,-172.64505116503216,-55.43868418997658,-12.977159857390483
-43437.198663847485,77087.84956759452,14115.543975987544,-173.67195013202195,-55.76843547529747,-13.330225776145797
-43451.09241985805,77083.38809275649,14114.477557925453,-175.12635967784686,-56.235466247102224,-13.609061439037202
-43465.10252863228,77078.88925545673,14113.38883301033,-176.2116658564672,-56.58397288589634,-14.000451899937369
-43479.1994619008,77074.36253762586,14112.268796858334,-178.24176197205506,-57.23586447889538,-14.316273648502651
-43493.458802858564,77069.78366846754,14111.123494966454,-178.87346696349073,-57.43871358047755,-14.529647914919618
