positionx,positiony,positionz,velocityx,velocityy,velocityz
59010.918501103035,-39726.7199160799,14318.275959259692,35.36207500627481,-7.5962105329062695,0.18246037747019694
59013.74746710354,-39727.327612922534,14318.290556089889,35.36207500627481,-7.5962105329062695,0.18246037747019694
59016.57643310404,-39727.93530976517,14318.305152920086,35.90840338237567,-7.773723382912378,0.02246037747019694
59019.44910537463,-39728.5572076358,14318.306949750284,36.920939711446046,-8.099979159507914,-0.24939530528880313
59022.40278055155,-39729.20520596856,14318.286998125861,37.550297554215796,-8.32298716751067,-0.4057438424340858
59025.40680435589,-39729.87104494196,14318.254538618467,39.28482347243033,-9.205763308724016,-0.4093873347444399
59028.549590233684,-39730.60750600666,14318.221787631686,39.908257109390355,-9.466391201623189,-0.5013464754573493
59031.74225080243,-39731.36481730279,14318.18167991365,40.94660204303829,-10.295930840238496,-0.7486852558523891
59035.01797896587,-39732.18849177001,14318.121785093183,41.757628233124464,-11.112127387936235,-1.0947097557147605
59038.358589224525,-39733.077461961046,14318.034208312725,42.64281029122315,-11.685927698083557,-1.4091482556755053
59041.77001404782,-39734.01233617689,14317.921476452271,43.49547496863084,-12.662759060192636,-1.7166179636034262
59045.249652045306,-39735.02535690171,14317.784147015183,44.62761960636624,-13.939053430601305,-1.9022977750591743
59048.81986161382,-39736.14048117615,14317.631963193178,45.79226809034153,-15.361571215234171,-2.0983453123187163
59052.48324306105,-39737.369406873375,14317.464095568193,46.105820786816466,-15.962089592914669,-2.2849491817273098
59056.171708723996,-39738.64637404081,14317.281299633656,46.933856144054126,-17.4402115346773,-2.324132934385041
59059.92641721552,-39740.041590963585,14317.095368998906,47.80151411713927,-18.37692025460199,-2.393508045214017
59063.750538344895,-39741.51174458395,14316.903888355288,48.32332575924673,-19.10462569255976,-2.411300631790292
59067.616404405635,-39743.040114639356,14316.710984304744,49.34432124699097,-20.808730263563778,-2.560279493310596
59071.563950105396,-39744.70481306044,14316.506161945279,49.59312727927865,-21.831797784130327,-2.6651782632948198
59075.531400287735,-39746.45135688317,14316.292947684215,49.720475889951885,-23.52771108642651,-2.9128722780189436
59079.509038358934,-39748.33357377008,14316.059917901974,49.87804110673623,-25.598215946584858,-3.253378882460598
59083.49928164747,-39750.38143104581,14315.799647591377,49.974039693601945,-26.03290460805347,-3.566371846871583
59087.49720482296,-39752.46406341445,14315.514337843628,50.01783744929267,-27.748118918405364,-3.9077352618369745
59091.498631818904,-39754.683912927925,14315.201719022682,49.760119647394575,-28.77425930199219,-4.376447135582718
59095.47944139069,-39756.985853672086,14314.851603251835,48.906699930664495,-30.15684544411762,-4.92633393745159
59099.391977385145,-39759.39840130762,14314.45749653684,48.646538915516615,-30.577051532723672,-5.431530128789402
59103.28370049839,-39761.844565430234,14314.022974126536,47.38747062284721,-32.11642439735052,-5.881111599196453
59107.074698148215,-39764.413879382024,14313.5524851986,47.201600252349046,-32.33489262694049,-6.258474826640902
59110.850826168404,-39767.00067079218,14313.051807212469,46.24146025961269,-33.148436637686274,-6.525973244888581
59114.550142989174,-39769.65254572319,14312.529729352878,46.16878081327959,-33.18045667304325,-6.869696890557117
59118.24364545423,-39772.30698225703,14311.980153601633,44.81720101782302,-34.15499092153682,-7.213779914375989
59121.82902153566,-39775.039381530754,14311.403051208483,43.57983527381399,-35.328121650758476,-7.506667459888876
59125.315408357565,-39777.865631262815,14310.802517811691,42.91482049897109,-36.16516877794346,-7.856899295208993
59128.74859399748,-39780.75884476505,14310.173965868074,42.4053492013486,-36.71435829316282,-8.168258904942391
59132.14102193359,-39783.695993428504,14309.520505155679,41.52010133839983,-38.059467524616366,-8.337014287662482
59135.46263004066,-39786.740750830475,14308.853544012665,41.19605698134426,-38.6644318955925,-8.378928931207966
59138.75831459917,-39789.833905382126,14308.183229698168,40.844831246209765,-39.144045940439874,-8.391204144446277
59142.02590109887,-39792.96542905736,14307.511933366613,40.22360721302695,-39.896191280084984,-8.54188988369082
59145.24378967591,-39796.157124359765,14306.828582175918,39.19187259907879,-41.453218152204705,-8.813558980091923
59148.37913948383,-39799.47338181194,14306.12349745751,38.57823930557699,-41.946037497506374,-9.240981641010855
59151.46539862828,-39802.82906481174,14305.38421892623,37.932326054337565,-42.339393947510885,-9.824554646386378
59154.499984712624,-39806.21621632754,14304.59825455452,37.16502709356237,-43.14808144828006,-10.513837655445291
59157.47318688011,-39809.668062843404,14303.757147542085,36.81238019129192,-43.4877147759113,-11.148566739123083
59160.41817729541,-39813.147080025476,14302.865262202955,36.55573021343379,-43.61263855199274,-11.862797962770367
59163.342635712484,-39816.636091109634,14301.916238365933,36.188320988514754,-43.72378138316842,-12.445833249141034
59166.23770139157,-39820.133993620286,14300.920571706001,34.52859452742967,-44.07406814690452,-12.935247158229624
59168.999988953765,-39823.65991907204,14299.885751933343,34.34483801317381,-44.1612365330452,-13.284599068400867
59171.74757599482,-39827.19281799468,14298.822984007871,33.959324253051314,-44.5129734262779,-13.546512950700613
59174.46432193506,-39830.75385586878,14297.739262971814,33.63746223087485,-44.94790422128042,-13.792470138890401
59177.15531891353,-39834.34968820649,14296.635865360702,33.45974216891499,-45.40078924423714,-13.982647206200193
59179.83209828704,-39837.98175134602,14295.517253584207,33.30627616746841,-45.88747251110682,-14.024018771097495
59182.496600380444,-39841.65274914691,14294.395332082519,33.18583567338515,-46.812852526028905,-14.094156155365273
59185.15146723432,-39845.39777734899,14293.267799590089,33.04581251617728,-47.421030029576585,-14.247238663974159
59187.79513223561,-39849.19145975135,14292.12802049697,32.66439896932728,-48.56444996880304,-14.322276761613853
59190.408284153156,-39853.076615748854,14290.98223835604,31.907493886855725,-50.51385085864653,-14.545626339923588
59192.960883664105,-39857.117723817544,14289.818588248847,30.762247858203125,-51.99263189011336,-14.879742794231415
59195.42186349276,-39861.27713436876,14288.628208825308,30.604835932163056,-52.118127137262164,-15.260303421885267
59197.870250367334,-39865.446584539735,14287.407384551558,30.175855194192717,-52.721807025751865,-15.558180216439654
59200.28431878287,-39869.6643291018,14286.162730134243,29.384451756612073,-53.521270128159685,-15.85600127207443
59202.6350749234,-39873.94603071205,14284.894250032477,28.669047882733654,-54.65073394324761,-15.996838762426032
59204.92859875401,-39878.318089427514,14283.614502931483,27.87447691807446,-56.31969144915827,-16.109738503303188
59207.15855690746,-39882.823664743446,14282.325723851218,26.75678429468698,-57.602249560864145,-16.266410354847437
59209.299099651034,-39887.43184470831,14281.02441102283,26.506875723099018,-57.89336847857195,-16.529608407399103
59211.419649708885,-39892.0633141866,14279.702042350238,26.321903440514998,-58.08862717768868,-16.907098110641712
59213.52540198412,-39896.71040436081,14278.349474501387,25.576053060578428,-58.62860164274012,-17.215538342802898
59215.57148622897,-39901.40069249223,14276.972231433963,25.191522896635202,-59.034235303852185,-17.454844139080866
59217.586808060696,-39906.12343131653,14275.575843902838,24.0650427008547,-60.879278660681145,-17.562215977719717
59219.51201147676,-39910.993773609385,14274.17086662462,24.022577849704277,-60.93282555245129,-17.65969021252673
59221.43381770474,-39915.868399653584,14272.758091407617,23.658604322580956,-61.19765640051799,-17.843485753293784
59223.326506050544,-39920.764212165624,14271.330612547354,22.617798831804695,-61.57277725261317,-18.182634287778274
59225.13592995709,-39925.69003434583,14269.876001804332,20.591653028447507,-61.82557147420326,-18.39482820520698
59226.783262199366,-39930.63608006377,14268.404415547915,20.427572008595373,-61.88869715519684,-18.474395692699687
59228.417467960055,-39935.58717583618,14266.9264638925,18.547168895839995,-62.79227136297319,-18.49780536778237
59229.90124147172,-39940.610557545224,14265.446639463076,18.00277464841466,-63.010796727811744,-18.648752911722273
59231.3414634436,-39945.65142128345,14263.95473923014,16.509032108941184,-63.64145365401299,-18.85403766952609
59232.66218601231,-39950.742737575776,14262.446416216577,15.022961447830452,-63.85882910156428,-19.20572612578705
59233.86402292814,-39955.8514439039,14260.909958126515,14.831487465605763,-63.95185539593385,-19.60175213182072
59235.05054192538,-39960.967592335575,14259.341817955969,13.737161648367657,-64.67106405919952,-20.146061123475924
59236.14951485725,-39966.14127746031,14257.73013306609,12.832916369316457,-65.61232845852084,-20.599083119417152
59237.17614816679,-39971.39026373699,14256.082206416537,12.38072939439443,-65.8935108123629,-20.94922148159984
59238.166606518345,-39976.66174460198,14254.406268698009,12.293001682326018,-65.9795951369139,-21.413207450471923
59239.15004665293,-39981.940112212935,14252.69321210197,11.572311155517816,-66.7748560322457,-21.91710457179716
59240.07583154537,-39987.28210069551,14250.939843736227,10.56153272468289,-67.66713037590934,-22.29238497204594
59240.920754163344,-39992.69547112558,14249.156452938463,9.249112848208886,-68.39591717597597,-22.594526743392393
59241.6606831912,-39998.16714449966,14247.348890798992,7.50646856053857,-69.1008921851982,-22.897131218955106
59242.26120067604,-40003.695215874475,14245.517120301476,6.8857133859579225,-69.47551678450236,-23.256815475447898
59242.812057746916,-40009.253257217235,14243.65657506344,5.810428542293611,-70.52088958952352,-23.654040006883992
59243.2768920303,-40014.8949283844,14241.764251862889,5.418387772840405,-71.1712237572876,-24.059523492552085
59243.71036305212,-40020.58862628498,14239.839489983486,5.368605128906965,-71.32496761371723,-24.414731249125367
59244.13985146244,-40026.29462369408,14237.886311483555,4.503785463182996,-72.97606052021956,-24.627346817983014
59244.500154299494,-40032.1327085357,14235.916123738116,3.1257991738599165,-74.71228647875569,-24.795375217921052
59244.75021823341,-40038.109691453996,14233.932493720682,3.1257863297506194,-74.71231609016625,-24.856811811985445
59245.000281139786,-40044.08667674121,14231.943948775723,3.096531255174895,-74.89703480534303,-24.99773028510814
59245.2480036402,-40050.078439525634,14229.944130352915,2.89538599222982,-75.46552866773538,-25.000374310326357
59245.47963451958,-40056.11568181905,14227.944100408089,2.8938414776833845,-75.47089721529568,-25.015092188121105
59245.7111418378,-40062.15335359627,14225.94289303304,2.053838886364762,-77.44817142651428,-25.1820336823091
59245.875448948704,-40068.34920731039,14223.928330338455,1.9202631665225618,-78.52429600129676,-25.226486243486903
59246.02907000203,-40074.6311509905,14221.910211438975,1.7702352558574728,-78.9129690311041,-25.231499805626132
59246.170688822494,-40080.944188512985,14219.891691454524,1.6984129029601018,-79.43335639920863,-25.294239521285082
59246.30656185473,-40087.29885702492,14217.868152292822,1.6624402124324655,-79.91755505641376,-25.407600205997536
59246.43955707173,-40093.69226142944,14215.835544276342,1.6043499901753973,-80.73049401082254,-25.618735851772897
59246.567905070944,-40100.150700950304,14213.7860454082,1.2786850185466436,-81.61095890392654,-25.727698902639986
59246.67019987243,-40106.67957766262,14211.727829495989,0.2015864659768205,-83.05225270052662,-25.824981745358905
59246.686326789706,-40113.32375787866,14209.66183095636,-1.2497041900210437,-84.40871161816051,-25.89997341216249
59246.586350454505,-40120.07645480811,14207.589833083388,-1.8784776577901394,-84.85166500612051,-26.030882574689358
59246.43607224188,-40126.864588008604,14205.507362477412,-2.083741125192839,-85.01549185541758,-26.316060865180216
59246.269372951865,-40133.665827357036,14203.402077608198,-3.334741644250512,-85.74713372973142,-26.57857422139257
59246.002593620324,-40140.525598055414,14201.275791670487,-3.7605936656319883,-85.89155134879663,-26.696279794974235
59245.70174612707,-40147.396922163316,14199.14008928689,-5.520622758295753,-86.13903005529455,-26.752522325807952
59245.26009630641,-40154.28804456774,14196.999887500824,-6.431747786750758,-86.34420298216793,-26.799687017954806
59244.74555648347,-40161.19558080631,14194.855912539388,-8.297552446216727,-87.4295587969471,-26.866526650044673
59244.08175228777,-40168.189945510065,14192.706590407384,-10.087609123996186,-88.47289228169143,-27.05799380931095
59243.27474355785,-40175.2677768926,14190.54195090264,-11.702180957955548,-89.50779462274113,-27.199980030769392
59242.338569081214,-40182.42840046242,14188.365952500179,-12.889463072137312,-90.22817341639598,-27.463219249365935
59241.30741203544,-40189.64665433573,14186.168894960228,-13.44049211077586,-90.36660772036558,-27.638216028010547
59240.23217266658,-40196.87598295336,14183.957837677988,-15.014210378493832,-90.41047287886985,-27.729215009575515
59239.031035836306,-40204.108820783666,14181.739500477222,-15.819106134740684,-90.44514922055274,-27.953886389467595
59237.765507345524,-40211.34443272131,14179.503189566065,-16.855368857383496,-90.37823534146435,-28.056476201882894
59236.41707783694,-40218.57469154862,14177.258671469914,-17.10821825823338,-90.30808348864126,-28.23066360401955
59235.048420376275,-40225.79933822771,14175.000218381592,-17.88354895560873,-90.08480082867976,-28.293562857725465
59233.617736459826,-40233.006122294006,14172.736733352975,-18.99605815675314,-89.63910048316453,-28.31835914943433
59232.09805180728,-40240.17725033266,14170.47126462102,-20.634756419881818,-88.36627742219514,-28.48003867541369
59230.44727129369,-40247.246552526434,14168.192861526986,-21.83090805437252,-87.83872485748078,-28.64800904293118
59228.70079864934,-40254.27365051503,14165.901020803552,-22.98434688140892,-87.22403493017136,-28.70384878689119
59226.86205089883,-40261.25157330945,14163.604712900602,-24.10511182428004,-86.440838825321,-28.805161160523888
59224.93364195289,-40268.16684041548,14161.30030000776,-24.617822369226026,-86.15574436571289,-28.988147109850498
59222.96421616335,-40275.059299964734,14158.981248238973,-26.419936091009617,-85.05372832877401,-29.126311268024583
59220.85062127607,-40281.86359823104,14156.65114333753,-27.482376919757385,-84.31827492343746,-29.342958029705166
59218.65203112249,-40288.60906022491,14154.303706695155,-28.298879291453083,-83.90907306213933,-29.469792487919708
59216.38812077917,-40295.32178606988,14151.94612329612,-30.213910260813222,-82.94772721039494,-29.554282269766304
59213.97100795831,-40301.95760424671,14149.58178071454,-30.75452379912135,-82.69363886728358,-29.5721103345962
59211.51064605438,-40308.57309535609,14147.216011887771,-31.74065480765739,-82.00914687085672,-29.722948761489555
59208.97139366977,-40315.13382710576,14144.838175986852,-32.74886821455799,-81.31652455416605,-30.005742048954282
59206.35148421261,-40321.63914907009,14142.437716622935,-34.1236578814317,-80.61969030501344,-30.38327471377432
59203.621591582094,-40328.088724294495,14140.007054645834,-35.01348880561355,-80.37434704926345,-30.89374781227045
59200.82051247764,-40334.51867205844,14137.535554820852,-35.186569750008196,-80.36968026688167,-31.35963223578637
59198.00558689764,-40340.94824647979,14135.026784241989,-35.43499439562419,-80.35956519961263,-31.675551199690897
59195.17078734599,-40347.37701169576,14132.492740146014,-36.34570456237919,-80.55569928864553,-31.914779337900505
59192.263130981,-40353.82146763885,14129.939557798982,-37.25089031275989,-80.62234074430772,-32.18580925690654
59189.28305975598,-40360.2712548984,14127.36469305843,-38.067934796739024,-80.83909286646607,-32.4479200106217
59186.237624972244,-40366.73838232771,14124.76885945758,-39.740624549036845,-81.22356412101367,-32.690337721656086
59183.058375008324,-40373.236267457396,14122.153632439848,-40.888427440667705,-81.90092132995706,-33.05206005201902
59179.78730081307,-40379.788341163796,14119.509467635686,-42.348848914595855,-83.23129210289275,-33.38944937086737
