positionx,positiony,positionz,velocityx,velocityy,velocityz
-42263.72998262062,-74181.683669141,13563.527013226381,73.39559653282654,-8.900232681484567,0.11851451019889181
-42257.858334897996,-74182.39568775552,13563.536494387197,73.39559653282654,-8.900232681484567,0.11851451019889181
-42251.98668717537,-74183.10770637004,13563.545975548013,74.87341500967649,-9.380405012070026,-0.041485489801108194
-42245.9968139746,-74183.858138771,13563.542656708829,76.00127792588519,-9.763483467915592,-0.15874403855608213
-42239.91671174053,-74184.63921744844,13563.529957185745,77.24150823199683,-10.323270099969909,-0.17422445086998314
-42233.73739108197,-74185.46507905643,13563.516019229675,79.1546208027821,-10.723790852362704,-0.30044840066887957
-42227.40502141775,-74186.32298232462,13563.491983357622,80.48374645304266,-11.113016592513496,-0.35184662062153393
-42220.966321701504,-74187.21202365203,13563.463835627972,81.87680127922644,-11.450305871777838,-0.5413984994745484
-42214.41617759917,-74188.12804812177,13563.420523748015,82.08811916973072,-11.53304597822904,-0.6131649706645658
-42207.84912806559,-74189.05069180003,13563.37147055036,83.69714375492508,-11.879397734465309,-0.6588856575923447
-42201.15335656519,-74190.00104361879,13563.318759697753,84.5408882675246,-12.123351346729654,-0.7013258822961906
-42194.39008550379,-74190.97091172653,13563.26265362717,86.421460307419,-13.092025007200931,-0.768417122864067
-42187.47636867919,-74192.01827372711,13563.20118025734,87.33251587107652,-13.312347833435135,-0.772583276157602
-42180.489767409505,-74193.08326155378,13563.139373595248,87.7610612086465,-13.517748815489034,-0.8633807843231548
-42173.46888251281,-74194.16468145902,13563.070303132503,88.94718079091524,-13.776737791951783,-1.105055972392191
-42166.35310804954,-74195.26682048237,13562.98189865471,90.89546970566713,-14.295969345247538,-1.209260434235765
-42159.08147047309,-74196.41049802999,13562.885157819972,92.23135279400228,-14.83825914441354,-1.4406819481434332
-42151.70296224957,-74197.59755876154,13562.769903264121,93.69004319014944,-15.458696811004192,-1.687444540997271
-42144.20775879436,-74198.83425450642,13562.634907700842,94.4599942938418,-16.083553923496467,-1.9705548584446957
-42136.65095925085,-74200.1209388203,13562.477263312167,95.91279107200094,-17.179322675898305,-2.15740568347985
-42128.97793596509,-74201.49528463437,13562.304670857488,96.05596708365638,-17.320073461425057,-2.494922375194296
-42121.293458598404,-74202.88089051128,13562.105077067472,97.1467595970987,-18.723729529781007,-2.7923233859864163
-42113.521717830634,-74204.37878887367,13561.881691196593,97.751394665787,-19.40137025574601,-3.033084218819873
-42105.70160625737,-74205.93089849413,13561.639044459087,99.3767825261184,-20.767201148448937,-3.251588112912232
-42097.75146365528,-74207.592274586,13561.378917410055,101.30462479751017,-21.780266791339983,-3.558869321634403
-42089.64709367148,-74209.33469592931,13561.094207864324,101.80525509610668,-21.944721223818583,-4.017353828892576
-42081.50267326379,-74211.09027362721,13560.772819558013,101.9127679910001,-22.02156406530554,-4.545812191619086
-42073.349651824516,-74212.85199875243,13560.409154582683,103.03981860270761,-22.44366308524813,-5.012445005869044
-42065.1064663363,-74214.64749179926,13560.008158982213,104.85234172146433,-23.588804315080466,-5.538297110669082
-42056.71827899858,-74216.53459614447,13559.56509521336,104.95738500713,-23.67199360992365,-6.109546233228874
-42048.32168819801,-74218.42835563327,13559.076331514701,105.8568198595627,-24.70461175516276,-6.676205971067944
-42039.853142609245,-74220.40472457367,13558.542235037015,107.62276595649385,-25.932612458255527,-7.2728049840013975
-42031.243321332724,-74222.47933357033,13557.960410638296,109.14080883565808,-27.375406608485118,-7.867164798436983
-42022.51205662587,-74224.66936609901,13557.331037454422,110.30797874030164,-28.950944904635726,-8.475514643735702
-42013.68741832665,-74226.98544169139,13556.652996282923,110.75718123535795,-29.851791122811797,-9.1887287998231
-42004.82684382782,-74229.37358498121,13555.917897978938,112.09985886272442,-31.4784638422267,-9.779335301358351
-41995.8588551188,-74231.89186208858,13555.135551154828,112.87643838899534,-32.53663995621799,-10.293793829602787
-41986.828740047684,-74234.49479328508,13554.31204764846,114.02243714560564,-34.353371895079285,-10.727595645378402
-41977.70694507603,-74237.24306303669,13553.45383999683,114.11680479557737,-34.63044972666807,-11.266377546017674
-41968.577600692384,-74240.01349901482,13552.552529793149,114.81450161571871,-36.363132854343164,-11.672375097551772
-41959.392440563126,-74242.92254964318,13551.618739785345,115.44875452920125,-38.20938805060837,-12.177678350656281
-41950.15654020079,-74245.97930068722,13550.644525517291,116.29745475412254,-39.59170625087283,-12.57443786851136
-41940.85274382046,-74249.1466371873,13549.63857048781,116.97753145433234,-40.937810507707596,-12.944168370124395
-41931.49454130411,-74252.42166202792,13548.6030370182,117.48517629418332,-42.06773859789343,-13.250371511198617
-41922.095727200576,-74255.78708111575,13547.543007297303,117.78079987617812,-42.97742946301916,-13.406740759991953
-41912.67326321048,-74259.2252754728,13546.470468036503,117.85121156774595,-43.42818803263221,-13.44300761603968
-41903.245166285065,-74262.69953051541,13545.39502742722,117.65870438863796,-44.69232570903327,-13.581503640602733
-41893.83246993397,-74266.27491657213,13544.308507135971,117.26772253889538,-46.026286378504295,-13.594281130802653
-41884.45105213086,-74269.95701948242,13543.220964645507,116.50589230238603,-47.4931225534905,-13.662833766445017
-41875.13058074667,-74273.7564692867,13542.127937944191,115.52203844495918,-49.070380669988786,-13.674920680392628
-41865.888817671075,-74277.6820997403,13541.03394428976,114.58707977016117,-50.14965577860652,-13.73353281763739
-41856.72185128946,-74281.69407220259,13539.93526166435,113.79431623063142,-51.074614207459234,-13.794534142982602
-41847.61830599101,-74285.78004133918,13538.831698932912,112.75362309505742,-52.45054049663164,-13.929881774013364
-41838.598016143405,-74289.97608457891,13537.717308390991,112.1051555462431,-54.24298660218041,-14.092134731496024
-41829.62960369971,-74294.31552350709,13536.58993761247,111.73241708032357,-55.58654640268759,-14.392289275439476
-41820.691010333285,-74298.7624472193,13535.438554470436,111.34347642599063,-56.65249553716417,-14.680765103706788
-41811.783532219204,-74303.29464686227,13534.26409326214,110.49091627496269,-58.48376141685463,-15.057339704345495
-41802.94425891721,-74307.97334777562,13533.059506085792,109.92793749699392,-59.77241294067921,-15.489556873917337
-41794.15002391745,-74312.75514081088,13531.820341535878,109.64443738881556,-60.130909216100484,-15.775365550657995
-41785.37846892634,-74317.56561354817,13530.558312291825,109.54552994689269,-60.3529148410996,-16.12928986600837
-41776.61482653059,-74322.39384673546,13529.267969102544,108.57671089458024,-62.01248887574294,-16.601915058548975
-41767.92868965902,-74327.35484584552,13527.93981589786,107.69008431182554,-63.4423815495796,-17.008574560098765
-41759.313482914076,-74332.43023636949,13526.579129933052,107.45199395871441,-63.697288872277134,-17.264362453974112
-41750.71732339738,-74337.52601947926,13525.197980936735,106.98638490201725,-64.06480778513072,-17.42642088343737
-41742.15841260522,-74342.65120410208,13523.80386726606,106.87138776855977,-64.11447165570505,-17.664177325232874
-41733.60870158373,-74347.78036183454,13522.390733080041,105.19594367659506,-64.35915617594972,-17.76791731464981
-41725.193026089604,-74352.92909432862,13520.969299694869,103.34155913463132,-64.78399490526527,-17.79972403906013
-41716.925701358836,-74358.11181392104,13519.545321771744,101.67332199816695,-65.73854537023017,-17.94315214414732
-41708.79183559898,-74363.37089755066,13518.109869600212,101.58144431622455,-65.8164393137408,-18.150192377588255
-41700.66532005368,-74368.63621269575,13516.657854210005,101.04039980981221,-66.40266024835854,-18.348619220219827
-41692.5820880689,-74373.94842551563,13515.189964672387,99.9640573642307,-68.09198142025288,-18.415960799376915
-41684.58496347976,-74379.39578402924,13513.716687808437,99.8679009555649,-68.44232666401498,-18.469886478621362
-41676.59553140332,-74384.87117016237,13512.239096890147,99.63714553865083,-69.64025191197922,-18.472376783635966
-41668.624559760225,-74390.44239031532,13510.761306747456,99.64632484817373,-71.32026265122555,-18.53676924013007
-41660.65285377237,-74396.14801132742,13509.278365208245,99.40900286540256,-72.75883330549189,-18.551411336656994
-41652.70013354314,-74401.96871799185,13507.794252301313,99.52556875708164,-74.50828195328445,-18.648467542076133
-41644.73808804258,-74407.92938054811,13506.302374897947,99.46271446325925,-75.42843546528634,-18.652099990320835
-41636.78107088552,-74413.96365538533,13504.810206898721,99.29983183451289,-77.43261250504557,-18.703845119366015
-41628.83708433876,-74420.15826438574,13503.31389928917,99.21729307900463,-79.35010767508864,-18.75470889992812
-41620.89970089244,-74426.50627299974,13501.813522577177,99.09206944240299,-79.75831249980764,-18.836634134996025
-41612.97233533705,-74432.88693799973,13500.306591846376,98.3844229964351,-81.10664293273497,-19.04144960098227
-41605.101581497336,-74439.37546943435,13498.783275878297,96.83879939595215,-82.73364923777702,-19.274344511616974
-41597.35447754566,-74445.99416137337,13497.241328317368,95.62725910085402,-83.88727427247662,-19.500433938065626
-41589.704296817596,-74452.70514331516,13495.681293602323,95.52791437029471,-83.94630445830184,-19.847272459564035
-41582.062063667974,-74459.42084767183,13494.093511805559,94.5221523143023,-84.83078774965149,-20.09854250626737
-41574.50029148283,-74466.20731069181,13492.485628405057,93.06734402062796,-86.48970821894027,-20.425253284753207
-41567.05490396118,-74473.12648734932,13490.851608142277,92.29562787347525,-87.66425557085243,-20.617436490168323
-41559.6712537313,-74480.13962779498,13489.202213223063,91.92865082356485,-88.58687876295001,-20.70007625762565
-41552.31696166541,-74487.22657809602,13487.546207122454,91.83531704910345,-88.95388471959401,-20.858393047804547
-41544.97013630148,-74494.34288887358,13485.87753567863,91.60483943569717,-89.50732322944738,-20.994519088090705
-41537.64174914663,-74501.50347473193,13484.197974151582,90.34178923504936,-91.0830621262935,-20.996889773307686
-41530.414406007825,-74508.79011970204,13482.518222969718,90.23326174913458,-91.31753638193038,-21.04939833383576
-41523.1957450679,-74516.0955226126,13480.83427110301,89.94162523979587,-91.80234893025066,-21.057350652318586
-41516.000415048715,-74523.43971052702,13479.149683050826,89.73017439104284,-92.18676505401363,-21.09138914934548
-41508.82200109743,-74530.81465173134,13477.462371918878,88.81324131357829,-93.19957735887355,-21.2723065292036
-41501.71694179234,-74538.27061792005,13475.760587396542,88.32547861316749,-94.13618399946648,-21.38849768834612
-41494.65090350329,-74545.80151264,13474.049507581474,87.78784074499224,-94.84811081719039,-21.582797015203024
-41487.627876243685,-74553.38936150537,13472.322883820258,87.45276069998124,-95.33486555716188,-21.721976319301678
-41480.63165538769,-74561.01615074994,13470.585125714713,86.69509476206846,-97.13354627802997,-21.802113075340905
-41473.69604780673,-74568.78683445218,13468.840956668686,85.3759317584269,-98.77878158886212,-21.806025376414212
-41466.86597326605,-74576.68913697929,13467.096474638573,85.05722110969678,-99.32787166114161,-21.909002759283094
-41460.06139557728,-74584.63536671217,13465.34375441783,84.64457523171745,-100.63988812926134,-22.153198919280047
-41453.289829558744,-74592.68655776251,13463.571498504289,84.50520527569634,-101.12962287880376,-22.43098256895443
-41446.52941313669,-74600.77692759281,13461.777019898773,83.56535963284811,-102.60160774189029,-22.553991800004663
-41439.84418436606,-74608.98505621217,13459.972700554772,83.2486218616112,-102.88422844383182,-22.596069801142665
-41433.18429461713,-74617.21579448768,13458.16501497068,82.94804045187915,-103.26177286526239,-22.782995648135262
-41426.54845138098,-74625.47673631691,13456.342375318829,82.49661061863246,-103.78119014656971,-22.98600081999743
-41419.94872253149,-74633.77923152864,13454.50349525323,81.49232344423571,-105.00063346808761,-23.3461010607705
-41413.42933665595,-74642.17928220608,13452.635807168368,80.82161382014188,-105.63068397580265,-23.60057901341242
-41406.96360755034,-74650.62973692415,13450.747760847295,79.46915736853533,-106.63238965589709,-23.959891942022068
-41400.60607496085,-74659.16032809662,13448.830969491934,78.00070745777391,-108.04122642235251,-24.364101543569152
-41394.36601836423,-74667.80362621041,13446.881841368448,77.26565233096251,-108.80769457116197,-24.896188929999035
-41388.18476617775,-74676.5082417761,13444.890146254047,76.0391159358447,-110.21842483261764,-25.51441682844581
-41382.10163690288,-74685.32571576271,13442.848992907771,75.57609232687467,-110.64432615835523,-26.145028770024496
-41376.05554951673,-74694.17726185538,13440.75739060617,75.51987678941984,-110.7206207002576,-26.80020780540921
-41370.01395937357,-74703.03491151141,13438.613373981738,74.35056116499914,-112.16696821837509,-27.305081739201825
-41364.06591448037,-74712.00826896887,13436.428967442602,73.3986968303995,-113.81146177596719,-27.841425365660843
-41358.19401873394,-74721.11318591094,13434.201653413349,72.98254569899139,-114.80440709085582,-28.34591296853703
-41352.355415078026,-74730.29753847822,13431.933980375867,72.70357489627241,-115.31836551413241,-28.98462245472613
-41346.539129086326,-74739.52300771936,13429.615210579488,71.87076804153432,-117.0793611957549,-29.50606975137736
-41340.789467643,-74748.88935661502,13427.254724999379,71.56323576386748,-117.48414592045428,-30.152288451573604
-41335.064408781895,-74758.28808828865,13424.842541923254,71.30934298592533,-117.67861496173462,-30.775551872198893
